date,RefSt,Sensor_O3,Temp,RelHum,,,
07/04/2017 00:00:00,66,-1,13,53,PR,17009,3
07/04/2017 01:00:00,74,-1,12.87,53.9,PR,17009,3
07/04/2017 02:00:00,80,-1,12,55.1,PR,17009,3
07/04/2017 03:00:00,51,-1,12,54,PR,17009,3
07/04/2017 04:00:00,18,-1,11.77,54.43,PR,17009,3
07/04/2017 05:00:00,47,-1,12.2,54.5,PR,17009,3
07/04/2017 06:00:00,34,-1,12.76,49.69,PR,17009,3
07/04/2017 07:00:00,55,-1,17.53,39.3,PR,17009,3
07/04/2017 08:00:00,77,-1,23.6,32.3,PR,17009,3
07/04/2017 09:00:00,77,-1,27,26,PR,17009,3
07/04/2017 10:00:00,85,-1,26.21,28,PR,17009,3
07/04/2017 11:00:00,78,-1,24.07,29.13,PR,17009,3
07/04/2017 12:00:00,107,-1,22.25,31.92,PR,17009,3
07/04/2017 13:00:00,110,-1,21,34,PR,17009,3
07/04/2017 15:00:00,104,-1,18.4,37.2,PR,17009,3
07/04/2017 16:00:00,92,-1,17.9,38.6,PR,17009,3
07/04/2017 17:00:00,76,-1,17.07,39,PR,17009,3
07/04/2017 18:00:00,58,-1,16.6,39.4,PR,17009,3
07/04/2017 19:00:00,49,-1,14.73,44.07,PR,17009,3
07/04/2017 20:00:00,73,-1,14.03,49.1,PR,17009,3
07/04/2017 21:00:00,52,-1,13.2,52.97,PR,17009,3
07/04/2017 22:00:00,44,-1,13,56.76,PR,17009,3
07/04/2017 23:00:00,40,-1,12.67,57.23,PR,17009,3
08/04/2017 00:00:00,20,-1,12,58.73,PR,17009,3
08/04/2017 01:00:00,7,-1,12,62.1,PR,17009,3
08/04/2017 02:00:00,5,-1,12,63.23,PR,17009,3
08/04/2017 03:00:00,6,-1,12,63.07,PR,17009,3
08/04/2017 04:00:00,5,-1,11,63.1,PR,17009,3
08/04/2017 05:00:00,6,-1,11,63.3,PR,17009,3
08/04/2017 06:00:00,11,-1,11.57,59.13,PR,17009,3
08/04/2017 07:00:00,23,-1,18.3,45.57,PR,17009,3
08/04/2017 08:00:00,58,-1,22.83,33.53,PR,17009,3
08/04/2017 09:00:00,80,-1,24.17,29.27,PR,17009,3
08/04/2017 10:00:00,88,-1,23.8,31.1,PR,17009,3
08/04/2017 11:00:00,117,-1,25.3,30.33,PR,17009,3
08/04/2017 12:00:00,126,-1,24.2,30.57,PR,17009,3
08/04/2017 13:00:00,122,-1,24.07,30.69,PR,17009,3
08/04/2017 14:00:00,121,-1,23.87,32.27,PR,17009,3
08/04/2017 15:00:00,126,-1,21.5,33.83,PR,17009,3
08/04/2017 16:00:00,124,-1,20.23,34.7,PR,17009,3
08/04/2017 17:00:00,113,-1,18.93,35.1,PR,17009,3
08/04/2017 18:00:00,91,-1,17.47,36.1,PR,17009,3
08/04/2017 19:00:00,70,-1,15.23,39.63,PR,17009,3
08/04/2017 20:00:00,17,-1,14,41,PR,17009,3
08/04/2017 21:00:00,12,-1,14,41.1,PR,17009,3
08/04/2017 22:00:00,35,-1,13,40,PR,17009,3
08/04/2017 23:00:00,23,-1,13,39,PR,17009,3
09/04/2017 00:00:00,35,-1,12.73,39.3,PR,17009,3
09/04/2017 01:00:00,53,-1,12,40,PR,17009,3
09/04/2017 02:00:00,63,-1,12,40,PR,17009,3
09/04/2017 03:00:00,47,-1,12,40,PR,17009,3
09/04/2017 04:00:00,14,-1,12,40,PR,17009,3
09/04/2017 05:00:00,12,-1,11,41.03,PR,17009,3
09/04/2017 06:00:00,20,-1,11.07,42,PR,17009,3
09/04/2017 07:00:00,53,-1,17.23,36.77,PR,17009,3
09/04/2017 08:00:00,71,-1,21.07,33.77,PR,17009,3
09/04/2017 09:00:00,85,-1,25,28.1,PR,17009,3
09/04/2017 10:00:00,104,-1,22.1,31.03,PR,17009,3
09/04/2017 11:00:00,117,-1,23.8,33.03,PR,17009,3
09/04/2017 12:00:00,117,-1,23.03,33.4,PR,17009,3
09/04/2017 13:00:00,119,-1,23,33,PR,17009,3
09/04/2017 14:00:00,118,-1,21.7,34,PR,17009,3
09/04/2017 15:00:00,114,-1,20.43,35.57,PR,17009,3
09/04/2017 16:00:00,110,-1,19.93,35.3,PR,17009,3
09/04/2017 17:00:00,102,-1,19,35.63,PR,17009,3
09/04/2017 18:00:00,86,-1,17.41,36.76,PR,17009,3
09/04/2017 19:00:00,56,-1,15.37,49.63,PR,17009,3
09/04/2017 20:00:00,17,-1,14.4,59.7,PR,17009,3
09/04/2017 21:00:00,11,-1,14,56.9,PR,17009,3
09/04/2017 22:00:00,31,-1,13.2,51.5,PR,17009,3
09/04/2017 23:00:00,41,-1,13,48.43,PR,17009,3
10/04/2017 00:00:00,34,-1,13,48,PR,17009,3
10/04/2017 01:00:00,55,-1,12.7,48.3,PR,17009,3
10/04/2017 02:00:00,92,-1,12.83,47.73,PR,17009,3
10/04/2017 03:00:00,62,-1,14.67,38.4,PR,17009,3
10/04/2017 04:00:00,51,-1,12.07,41.9,PR,17009,3
10/04/2017 05:00:00,26,-1,12,42.33,PR,17009,3
10/04/2017 06:00:00,37,-1,12.5,41.63,PR,17009,3
10/04/2017 07:00:00,68,-1,20,34.77,PR,17009,3
10/04/2017 08:00:00,73,-1,23.83,30.8,PR,17009,3
10/04/2017 09:00:00,81,-1,24.27,28.63,PR,17009,3
10/04/2017 10:00:00,98,-1,23.6,31.67,PR,17009,3
10/04/2017 11:00:00,109,-1,24,32.97,PR,17009,3
10/04/2017 12:00:00,125,-1,24.87,32.33,PR,17009,3
10/04/2017 13:00:00,103,-1,24.64,32.45,PR,17009,3
10/04/2017 14:00:00,98,-1,24.17,32.67,PR,17009,3
10/04/2017 15:00:00,90,-1,21.63,34,PR,17009,3
10/04/2017 16:00:00,92,-1,21,34,PR,17009,3
10/04/2017 17:00:00,90,-1,20.37,34.63,PR,17009,3
10/04/2017 18:00:00,73,-1,19.7,35,PR,17009,3
10/04/2017 19:00:00,58,-1,18.73,35.27,PR,17009,3
10/04/2017 20:00:00,61,-1,18.1,35.9,PR,17009,3
10/04/2017 21:00:00,65,-1,17.87,36,PR,17009,3
10/04/2017 22:00:00,70,-1,17.27,36,PR,17009,3
10/04/2017 23:00:00,51,-1,16,37,PR,17009,3
11/04/2017 00:00:00,48,-1,15.97,37,PR,17009,3
11/04/2017 01:00:00,57,-1,16,36.67,PR,17009,3
11/04/2017 02:00:00,24,-1,15.57,36.9,PR,17009,3
11/04/2017 03:00:00,17,-1,14,39.67,PR,17009,3
11/04/2017 04:00:00,7,-1,13.2,42.83,PR,17009,3
11/04/2017 05:00:00,7,-1,13,44.97,PR,17009,3
11/04/2017 06:00:00,9,-1,14.1,45.17,PR,17009,3
11/04/2017 07:00:00,23,-1,20.07,37.53,PR,17009,3
11/04/2017 08:00:00,47,-1,26.63,31.13,PR,17009,3
11/04/2017 09:00:00,24,-1,24.9,29.8,PR,17009,3
11/04/2017 10:00:00,41,-1,25.43,31.27,PR,17009,3
11/04/2017 11:00:00,82,-1,25.03,32.17,PR,17009,3
11/04/2017 13:00:00,74,-1,25.63,32,PR,17009,3
11/04/2017 14:00:00,90,-1,21.87,36.8,PR,17009,3
11/04/2017 15:00:00,85,-1,19.73,43.7,PR,17009,3
11/04/2017 16:00:00,70,-1,19.5,46.43,PR,17009,3
11/04/2017 17:00:00,80,-1,18.5,49.23,PR,17009,3
11/04/2017 18:00:00,81,-1,17.13,61.33,PR,17009,3
11/04/2017 19:00:00,90,-1,16.23,64.07,PR,17009,3
11/04/2017 20:00:00,99,-1,16.03,66.63,PR,17009,3
11/04/2017 21:00:00,82,-1,16,67.03,PR,17009,3
11/04/2017 22:00:00,85,-1,16,68,PR,17009,3
11/04/2017 23:00:00,94,-1,16,68.13,PR,17009,3
12/04/2017 00:00:00,81,-1,15.17,68.93,PR,17009,3
12/04/2017 01:00:00,69,-1,14.93,68.13,PR,17009,3
12/04/2017 02:00:00,53,-1,14,69,PR,17009,3
12/04/2017 03:00:00,46,-1,13.17,69,PR,17009,3
12/04/2017 04:00:00,44,-1,13,69.27,PR,17009,3
12/04/2017 05:00:00,23,-1,13,70,PR,17009,3
12/04/2017 06:00:00,25,-1,13.27,69.87,PR,17009,3
12/04/2017 07:00:00,35,-1,19.53,52.07,PR,17009,3
12/04/2017 08:00:00,88,-1,22.3,44.8,PR,17009,3
12/04/2017 09:00:00,98,-1,23.2,34,PR,17009,3
12/04/2017 10:00:00,99,-1,24,32.83,PR,17009,3
12/04/2017 11:00:00,103,-1,23.77,32.9,PR,17009,3
12/04/2017 12:00:00,106,-1,23.93,32.93,PR,17009,3
12/04/2017 13:00:00,106,-1,23.43,33.03,PR,17009,3
12/04/2017 14:00:00,105,-1,22.5,33.5,PR,17009,3
12/04/2017 15:00:00,108,-1,20.77,34.57,PR,17009,3
