date,RefSt,Sensor_O3,Temp,RelHum,,,
06/04/2017 14:00:00,124,69.6159,27.18,32.47,PR,17013,4
06/04/2017 15:00:00,121,136.3613,21,37,PR,17013,4
06/04/2017 16:00:00,81,115.637,20.57,37.77,PR,17013,4
06/04/2017 17:00:00,55,77.1853,19,43.7,PR,17013,4
06/04/2017 18:00:00,53,50.8637,18,48.57,PR,17013,4
06/04/2017 19:00:00,65,35.537,17,51.87,PR,17013,4
06/04/2017 20:00:00,67,100.299,16,59.87,PR,17013,4
06/04/2017 21:00:00,45,60.8373,15,68.43,PR,17013,4
06/04/2017 22:00:00,33,30.239,15,68.47,PR,17013,4
06/04/2017 23:00:00,59,40.8293,14,60.67,PR,17013,4
07/04/2017 00:00:00,66,93.4187,13.2,57,PR,17013,4
07/04/2017 02:00:00,80,178.8083,13,57.13,PR,17013,4
07/04/2017 03:00:00,51,157.3163,12.6,57.4,PR,17013,4
07/04/2017 04:00:00,18,25.7317,12.33,57.67,PR,17013,4
07/04/2017 05:00:00,47,37.4743,12.53,58.33,PR,17013,4
07/04/2017 06:00:00,34,56.5773,13.3,55,PR,17013,4
07/04/2017 07:00:00,55,16.4453,23.5,42.57,PR,17013,4
07/04/2017 08:00:00,77,44.4187,27.27,33.27,PR,17013,4
07/04/2017 09:00:00,77,45.0333,29.17,30.5,PR,17013,4
07/04/2017 10:00:00,85,44.3793,25.87,32.5,PR,17013,4
07/04/2017 11:00:00,78,97.997,24.17,34.13,PR,17013,4
07/04/2017 12:00:00,107,108.8703,22.33,36.23,PR,17013,4
07/04/2017 13:00:00,110,154.7363,26,33.8,PR,17013,4
07/04/2017 14:00:00,108,203.775,26.43,32.83,PR,17013,4
07/04/2017 15:00:00,104,269.5913,19.17,46.13,PR,17013,4
07/04/2017 16:00:00,92,245.9587,18,48.63,PR,17013,4
07/04/2017 17:00:00,76,197.5793,17.83,49,PR,17013,4
07/04/2017 18:00:00,58,132.9783,17,49.03,PR,17013,4
07/04/2017 19:00:00,49,75.0387,15.17,52.1,PR,17013,4
07/04/2017 20:00:00,73,83.2147,14.7,55.13,PR,17013,4
07/04/2017 21:00:00,52,201.2227,14,62.63,PR,17013,4
07/04/2017 22:00:00,44,107.6397,13.7,68.83,PR,17013,4
07/04/2017 23:00:00,40,69.0447,13,64.73,PR,17013,4
08/04/2017 00:00:00,20,52.6227,13,67.07,PR,17013,4
08/04/2017 02:00:00,5,13.8377,12,70.23,PR,17013,4
08/04/2017 03:00:00,6,12.9993,12.1,70.23,PR,17013,4
08/04/2017 04:00:00,5,13.6947,12,70,PR,17013,4
08/04/2017 05:00:00,6,12.3543,12,70,PR,17013,4
08/04/2017 06:00:00,11,13.3673,12.3,69.47,PR,17013,4
08/04/2017 07:00:00,23,10.7887,25.47,44.03,PR,17013,4
08/04/2017 08:00:00,58,12.9467,28.43,34.73,PR,17013,4
08/04/2017 09:00:00,80,74.0627,28.73,31.37,PR,17013,4
08/04/2017 10:00:00,88,79.778,24.97,33.43,PR,17013,4
08/04/2017 11:00:00,117,255.8807,24.5,35.3,PR,17013,4
08/04/2017 12:00:00,126,330.408,24.37,34.63,PR,17013,4
08/04/2017 13:00:00,122,354.787,28.53,31.63,PR,17013,4
08/04/2017 14:00:00,121,306.6143,29.83,30.97,PR,17013,4
08/04/2017 15:00:00,126,377.469,22,36.9,PR,17013,4
08/04/2017 16:00:00,124,445.8167,21,37.97,PR,17013,4
08/04/2017 17:00:00,113,407.2231,19.38,40.24,PR,17013,4
08/04/2017 18:00:00,91,398.451,17.87,44.7,PR,17013,4
08/04/2017 19:00:00,70,268.2613,16,51.43,PR,17013,4
08/04/2017 20:00:00,17,133.758,15,51.73,PR,17013,4
08/04/2017 21:00:00,12,17.17,14.1,52.73,PR,17013,4
08/04/2017 22:00:00,35,24.687,14,51.77,PR,17013,4
08/04/2017 23:00:00,23,58.056,13.17,51,PR,17013,4
09/04/2017 00:00:00,35,39.2853,13,51,PR,17013,4
09/04/2017 02:00:00,63,168.8183,12.47,51.5,PR,17013,4
09/04/2017 03:00:00,47,200.5407,12,52,PR,17013,4
09/04/2017 04:00:00,14,56.593,12,51.97,PR,17013,4
09/04/2017 05:00:00,12,15.2177,11.97,52.6,PR,17013,4
09/04/2017 06:00:00,20,16.9003,12.07,52.93,PR,17013,4
09/04/2017 07:00:00,53,17.558,24.27,39.87,PR,17013,4
09/04/2017 08:00:00,71,60.722,26.63,33.17,PR,17013,4
09/04/2017 09:00:00,85,103.53,29.67,30.4,PR,17013,4
09/04/2017 10:00:00,104,159.027,24,33.67,PR,17013,4
09/04/2017 11:00:00,117,300.0657,23.83,42.33,PR,17013,4
09/04/2017 12:00:00,117,355.517,23.53,41.17,PR,17013,4
09/04/2017 13:00:00,119,341.208,27.87,34.73,PR,17013,4
09/04/2017 14:00:00,118,364.738,27.83,35.03,PR,17013,4
09/04/2017 15:00:00,114,403.064,21,44.77,PR,17013,4
09/04/2017 16:00:00,110,438.7193,20,45.93,PR,17013,4
09/04/2017 17:00:00,102,413.5121,19.41,46,PR,17013,4
09/04/2017 18:00:00,86,355.342,17.9,47.73,PR,17013,4
09/04/2017 19:00:00,56,276.2103,16,59.67,PR,17013,4
09/04/2017 20:00:00,17,88.12,15,67.5,PR,17013,4
09/04/2017 21:00:00,11,17.058,14.03,68.83,PR,17013,4
09/04/2017 22:00:00,31,21.9573,14,60.07,PR,17013,4
09/04/2017 23:00:00,41,91.025,14,56.53,PR,17013,4
10/04/2017 00:00:00,34,54.0467,13,55.73,PR,17013,4
10/04/2017 02:00:00,92,212.3423,13.27,55,PR,17013,4
10/04/2017 03:00:00,62,374.482,14.9,50.27,PR,17013,4
10/04/2017 04:00:00,51,139.9847,13,51.97,PR,17013,4
10/04/2017 05:00:00,26,123.827,12.73,52.27,PR,17013,4
10/04/2017 06:00:00,37,38.8837,13.23,52,PR,17013,4
10/04/2017 07:00:00,68,32.8567,27.37,35.8,PR,17013,4
10/04/2017 08:00:00,73,84.2143,28.47,31.53,PR,17013,4
10/04/2017 09:00:00,81,80.8707,28.77,30.67,PR,17013,4
10/04/2017 10:00:00,98,44.265,24.8,33.57,PR,17013,4
10/04/2017 11:00:00,109,193.69,24.4,37.33,PR,17013,4
10/04/2017 12:00:00,125,266.3543,24.23,37.77,PR,17013,4
10/04/2017 13:00:00,103,320.1187,28.43,33.93,PR,17013,4
