date,RefSt,Sensor_O3,Temp,RelHum,,,
06/04/2017 14:00:00,124,170.5165,27.18,32.47,PR,17013,2
06/04/2017 15:00:00,121,540.8753,21,37,PR,17013,2
06/04/2017 16:00:00,81,550.312,20.57,37.77,PR,17013,2
06/04/2017 17:00:00,55,373.2137,19,43.7,PR,17013,2
06/04/2017 18:00:00,53,207.8557,18,48.57,PR,17013,2
06/04/2017 19:00:00,65,179.0283,17,51.87,PR,17013,2
06/04/2017 20:00:00,67,304.3737,16,59.87,PR,17013,2
06/04/2017 21:00:00,45,179.4623,15,68.43,PR,17013,2
06/04/2017 22:00:00,33,105.213,15,68.47,PR,17013,2
06/04/2017 23:00:00,59,79.3187,14,60.67,PR,17013,2
07/04/2017 00:00:00,66,109.747,13.2,57,PR,17013,2
07/04/2017 02:00:00,80,399.5503,13,57.13,PR,17013,2
07/04/2017 03:00:00,51,391.1643,12.6,57.4,PR,17013,2
07/04/2017 04:00:00,18,172.1567,12.33,57.67,PR,17013,2
07/04/2017 05:00:00,47,86.7467,12.53,58.33,PR,17013,2
07/04/2017 06:00:00,34,129.0513,13.3,55,PR,17013,2
07/04/2017 07:00:00,55,89.7867,23.5,42.57,PR,17013,2
07/04/2017 08:00:00,77,150.6197,27.27,33.27,PR,17013,2
07/04/2017 09:00:00,77,148.844,29.17,30.5,PR,17013,2
07/04/2017 10:00:00,85,122.1747,25.87,32.5,PR,17013,2
07/04/2017 11:00:00,78,338.1583,24.17,34.13,PR,17013,2
07/04/2017 12:00:00,107,413.8503,22.33,36.23,PR,17013,2
07/04/2017 13:00:00,110,453.4913,26,33.8,PR,17013,2
07/04/2017 14:00:00,108,445.847,26.43,32.83,PR,17013,2
07/04/2017 15:00:00,104,695.8183,19.17,46.13,PR,17013,2
07/04/2017 16:00:00,92,663.227,18,48.63,PR,17013,2
07/04/2017 17:00:00,76,508.8993,17.83,49,PR,17013,2
07/04/2017 18:00:00,58,424.784,17,49.03,PR,17013,2
07/04/2017 19:00:00,49,267.9093,15.17,52.1,PR,17013,2
07/04/2017 20:00:00,73,219.4377,14.7,55.13,PR,17013,2
07/04/2017 21:00:00,52,285.88,14,62.63,PR,17013,2
07/04/2017 22:00:00,44,211.6447,13.7,68.83,PR,17013,2
07/04/2017 23:00:00,40,130.695,13,64.73,PR,17013,2
08/04/2017 00:00:00,20,113.5627,13,67.07,PR,17013,2
08/04/2017 02:00:00,5,46.8133,12,70.23,PR,17013,2
08/04/2017 03:00:00,6,40.803,12.1,70.23,PR,17013,2
08/04/2017 04:00:00,5,40.6603,12,70,PR,17013,2
08/04/2017 05:00:00,6,38.754,12,70,PR,17013,2
08/04/2017 06:00:00,11,38.1907,12.3,69.47,PR,17013,2
08/04/2017 07:00:00,23,30.844,25.47,44.03,PR,17013,2
08/04/2017 08:00:00,58,37.113,28.43,34.73,PR,17013,2
08/04/2017 09:00:00,80,245.4687,28.73,31.37,PR,17013,2
08/04/2017 10:00:00,88,305.3093,24.97,33.43,PR,17013,2
08/04/2017 11:00:00,117,385.515,24.5,35.3,PR,17013,2
08/04/2017 12:00:00,126,665.6137,24.37,34.63,PR,17013,2
08/04/2017 13:00:00,122,604.6397,28.53,31.63,PR,17013,2
08/04/2017 14:00:00,121,436.1657,29.83,30.97,PR,17013,2
08/04/2017 15:00:00,126,702.8287,22,36.9,PR,17013,2
08/04/2017 16:00:00,124,740.3357,21,37.97,PR,17013,2
08/04/2017 17:00:00,113,683.1497,19.38,40.24,PR,17013,2
08/04/2017 18:00:00,91,589.948,17.87,44.7,PR,17013,2
08/04/2017 19:00:00,70,414.4477,16,51.43,PR,17013,2
08/04/2017 20:00:00,17,320.1787,15,51.73,PR,17013,2
