date,RefSt,Sensor_O3,Temp,RelHum,,,
06/04/2017 15:00:00,121,143.6,21,33,PR,17009,4
06/04/2017 16:00:00,81,167.37,20,35,PR,17009,4
06/04/2017 17:00:00,55,78.48,18,40,PR,17009,4
06/04/2017 18:00:00,53,59.9833,17.3,46.67,PR,17009,4
06/04/2017 19:00:00,65,42.013,16.57,50.9,PR,17009,4
06/04/2017 20:00:00,67,111.047,15.73,56.27,PR,17009,4
06/04/2017 21:00:00,45,59.849,15,63.79,PR,17009,4
06/04/2017 22:00:00,33,29.7507,14,64.47,PR,17009,4
06/04/2017 23:00:00,59,43.2247,13,55.27,PR,17009,4
07/04/2017 00:00:00,66,108.0907,13,53,PR,17009,4
07/04/2017 01:00:00,74,122.2417,12.87,53.9,PR,17009,4
07/04/2017 02:00:00,80,203.3187,12,55.1,PR,17009,4
07/04/2017 03:00:00,51,176.8527,12,54,PR,17009,4
07/04/2017 04:00:00,18,28.1143,11.77,54.43,PR,17009,4
07/04/2017 05:00:00,47,42.6123,12.2,54.5,PR,17009,4
07/04/2017 06:00:00,34,69.2183,12.76,49.69,PR,17009,4
07/04/2017 07:00:00,55,20.7053,17.53,39.3,PR,17009,4
07/04/2017 08:00:00,77,84.4993,23.6,32.3,PR,17009,4
07/04/2017 09:00:00,77,32.14,27,26,PR,17009,4
07/04/2017 10:00:00,85,69.9166,26.21,28,PR,17009,4
07/04/2017 11:00:00,78,72.3633,24.07,29.13,PR,17009,4
07/04/2017 12:00:00,107,100.1992,22.25,31.92,PR,17009,4
07/04/2017 13:00:00,110,176.18,21,34,PR,17009,4
07/04/2017 15:00:00,104,267.4113,18.4,37.2,PR,17009,4
07/04/2017 16:00:00,92,252.3717,17.9,38.6,PR,17009,4
07/04/2017 17:00:00,76,221.5793,17.07,39,PR,17009,4
07/04/2017 18:00:00,58,159.9187,16.6,39.4,PR,17009,4
07/04/2017 19:00:00,49,95.664,14.73,44.07,PR,17009,4
07/04/2017 20:00:00,73,103.9977,14.03,49.1,PR,17009,4
07/04/2017 21:00:00,52,209.1047,13.2,52.97,PR,17009,4
07/04/2017 22:00:00,44,123.1059,13,56.76,PR,17009,4
07/04/2017 23:00:00,40,79.049,12.67,57.23,PR,17009,4
08/04/2017 00:00:00,20,57.6947,12,58.73,PR,17009,4
08/04/2017 01:00:00,7,19.581,12,62.1,PR,17009,4
08/04/2017 02:00:00,5,13.4273,12,63.23,PR,17009,4
08/04/2017 03:00:00,6,12.641,12,63.07,PR,17009,4
08/04/2017 04:00:00,5,13.2453,11,63.1,PR,17009,4
08/04/2017 05:00:00,6,11.9643,11,63.3,PR,17009,4
08/04/2017 06:00:00,11,13.221,11.57,59.13,PR,17009,4
08/04/2017 07:00:00,23,11.2253,18.3,45.57,PR,17009,4
08/04/2017 08:00:00,58,14.8603,22.83,33.53,PR,17009,4
08/04/2017 09:00:00,80,99.564,24.17,29.27,PR,17009,4
08/04/2017 10:00:00,88,99.1873,23.8,31.1,PR,17009,4
08/04/2017 11:00:00,117,179.9213,25.3,30.33,PR,17009,4
08/04/2017 12:00:00,126,280.2947,24.2,30.57,PR,17009,4
08/04/2017 13:00:00,122,321.3266,24.07,30.69,PR,17009,4
08/04/2017 14:00:00,121,292.3983,23.87,32.27,PR,17009,4
08/04/2017 15:00:00,126,353.1107,21.5,33.83,PR,17009,4
08/04/2017 16:00:00,124,412.937,20.23,34.7,PR,17009,4
08/04/2017 17:00:00,113,384.1033,18.93,35.1,PR,17009,4
08/04/2017 18:00:00,91,382.905,17.47,36.1,PR,17009,4
08/04/2017 19:00:00,70,272.5483,15.23,39.63,PR,17009,4
08/04/2017 20:00:00,17,154.508,14,41,PR,17009,4
08/04/2017 21:00:00,12,17.1313,14,41.1,PR,17009,4
08/04/2017 22:00:00,35,26.567,13,40,PR,17009,4
08/04/2017 23:00:00,23,72.1533,13,39,PR,17009,4
09/04/2017 00:00:00,35,46.4077,12.73,39.3,PR,17009,4
09/04/2017 01:00:00,53,83.9947,12,40,PR,17009,4
